挑戰標題,企業名稱,企業官網,社群網址,企業介紹,命題說明,挑戰連結
封閉式循環區域回收系統建置,金元福包裝企業股份有限公司,http://www.kyf.com.tw,https://www.facebook.com/KYF.package,金元福包裝企業股份有限公司創立於民國67年，為一專業及誠信的壓空/真空成型大廠。基於多年的豐富經驗，客戶群除了包含國內知名食品大廠，外銷客戶更遍及世界各地。身為一個專業的製造工廠，我們不斷地改良、研發新的技術，並堅持提供給我們的客戶：最優良的品質、最快的交貨速度及最即時的服務。,"命題說明：

一、源起：

1.  根據英國艾倫麥克阿瑟基金會（Ellen MacarthurFoundation）2016 年的報告，全球一年的塑膠使用量，有32% 流入大自然，也就是所謂的「海廢塑膠」、40% 進入垃圾掩埋場、14% 進到焚化爐或能源回收，只有 14% 可以被回收再利用。這 14%，又有 4% 在過程中損耗、8% 降級回收，僅有 2% 真正達到封閉鎖式循環。所謂降級回收，是指寶特瓶被抽絲回收成玩偶的填充物，再生產品的價值沒有原來高，最後壽命結束也只能被當垃圾。2. 根據環保署106年3月到107年4月統計，台灣連鎖超市、量販店及超商的食物浪費非常驚人，每月製造500公噸以上的廚餘，每年報廢食物價值超過70億台幣。3. 根據聯合國報告，全球被浪費掉的食物，讓碳排量高達44萬噸，食物浪費造成大量經濟損失，還賠上龐大環境成本，加劇地球暖化與氣候變遷危機。4. 近年連鎖超市、量販店為了配合政府減塑政策，裸賣水果，但包裝盒有保護水果、防止碰撞的功能，裸賣雖能減少包裝成本，但消費者喜歡動手翻動挑選裸賣區水果，造成常被重複翻動碰傷後報廢，得不償失。5. 塑膠帶給我們生活便利，我們應該考慮或是反省的是人的使用方法，跟人對它後面的處理方式，而不是塑膠這個材質的問題。金元福跟上世界永續潮流，結合回收與清洗廠商，串起封閉式循環經濟，用回收PET做成的塑膠食品容器，以開創新的商業模式，以實際作為讓環保落地，不只是空談。

二、封閉式循環商業模式：

1. 說明：讓連鎖超市、量販店編號1號PET包裝盒在保護商品，減少商品損壞的同時，可回收再製成包裝盒，再供應連鎖超市、量販店，打造「盒到盒」的循環經濟，讓包裝盒不再為地球增添額外的塑膠負擔，亦即不再增加塑膠新料使用，趨近淨零碳排，讓資源價值利用最大化。2.示範回收站點：家樂福高雄愛河店（113年8月啟用，如下圖），方便消費者輕鬆參與綠色循環之旅。",https://sustainabilityhackathon-tw.org/%e5%b0%81%e9%96%89%e5%bc%8f%e5%be%aa%e7%92%b0%e5%8d%80%e5%9f%9f%e5%9b%9e%e6%94%b6%e7%b3%bb%e7%b5%b1%e5%bb%ba%e7%bd%ae/
數位閱讀推廣創意方案設計,Rakuten Kobo（樂天Kobo電子書）,https://www.kobo.com/tw/zh,https://www.facebook.com/KoboTWN,樂天Kobo電子書，全球電子書領導品牌，提供超過700萬冊中、外文電子書及雜誌，其中擁有超過27萬本繁體中文書，並推出多代電子書閱讀器，為台灣市佔率第一的閱讀器品牌。 樂天Kobo迄今已服務全球上千萬讀者，讓愛看書的人可自由地在任何載具閱讀每一本書，只要開啟手機、平板、電子書閱讀器，隨時隨地都能享受閱讀的樂趣。樂天Kobo總部在加拿大多倫多，隸屬日本樂天集團旗下。,"命題說明：

藉由自身的經驗和創意，推廣數位閱讀的好處與方便，讓更多大學生嘗試並愛上這種便捷的閱讀方式。 參賽者需根據品牌特色，設計吸引大學生群體閱讀電子書、使用電子書閱讀器的推廣行銷方案，並展示其可行性和創新性。樂天Kobo電子書平台提供豐富的閱讀資源，並且我們的電子書閱讀器在市場上擁有極高的市占率。樂天Kobo希望參賽者能夠設計一個推廣方案，推廣大學生嘗試並愛上數位閱讀。

並需考慮以下幾個方面：1. 目標受眾：大學生群體的特點和需求。2. 推廣策略：如何有效地吸引大學生嘗試電子書和電子書閱讀器。3. 創意元素：方案中的創新點和吸引力。4. 實施計劃：具體的實施步驟和時間安排。 效果預測：預期的推廣效果和評估方法。",https://sustainabilityhackathon-tw.org/%e6%95%b8%e4%bd%8d%e9%96%b1%e8%ae%80%e6%8e%a8%e5%bb%a3%e5%89%b5%e6%84%8f%e6%96%b9%e6%a1%88%e8%a8%ad%e8%a8%88/
綠能永續智慧販賣機,金雨企業股份有限公司,http://www.alona.com.tw/index_tw.php,,金雨企業股份有限公司成立於 1977年，是台灣自動販賣機的專業製造廠。多年來用心致力於研發製造飲料販賣機、食品百貨販賣機、含升降機之複合型販賣機…等，並可搭載雲端智慧營運系統，提供更多元的支付方式，讓消費變得更友善更便利。金雨全力發展自家品牌「ALONA」，使其聞名且成為業界領導品牌。,"命題說明：

設計一台以環保為核心的智慧販賣機，強調使用可再生能源、減少廢棄物的機制，並與校園內的環保教育活動結合。",https://sustainabilityhackathon-tw.org/%e7%b6%a0%e8%83%bd%e6%b0%b8%e7%ba%8c%e6%99%ba%e6%85%a7%e8%b2%a9%e8%b3%a3%e6%a9%9f/
智慧醫療與管理,由田新技股份有限公司,,,"由田新技股份有限公司為兩岸領先自動光學檢測（AOI）設備商。以近三十年累積之深厚機器視覺（Machine Vision）核心技術，整合光學取像系統、影像處理邏輯演算技術、機構設計、精密機械與運動控制等，提供完整解決方案，應用於各式工業品管檢測，取代傳統人工目檢，大幅提高品管效益。
「創意」「紀律」「意志」是由田公司創業20年來堅持的精神信念。由田鼓勵員工發想創意，不論針對個人、產品或組織層面的各項「創意」都可能在未來轉化為珍貴的資產。而將創意實現的歷程，則需透過嚴明的「紀律」把關，由田同仁秉持堅韌的「意志」迎戰途中面臨的各項挑戰，以實踐每一項創新，使企業提升獲利持續成長。",智慧醫療是以新興資通訊技術（ICT）在醫療健康領域的智慧型應用，包括醫療照護、公衛監測、疾病判讀、疾病管理、醫務管理等。期待參賽團隊提出可提升醫療與照護品質的創新智慧醫療應用，及相關因應的創新管理方法。,https://wordpress.com/page/sustainabilityhackathon-tw.org/7099
智慧商務_建立高效流程帶動企業數位化,華苓科技股份有限公司,,,"華苓科技成立於1999年，為中大型商務軟體公司，以企業流程管理系統著稱。面對大數據、社群、人工智能、雲計算、移動裝置、物聯網、區塊鏈等數位科技共同將世界推向工業4.0與數位經濟時代。
華苓智慧系統包含三大平台：
Agentflow企業流程管理平台引領文件管理及OA應用，協助企業支撐起日常作業骨幹。Connesia物聯網應用平台統籌智能裝置的數據應用，將生產終端轉化為數據資產。
Lale社群入口平台建立高度黏著的社群營銷場域，降低新興商務的進入門檻。
華苓並以區塊鏈確保數據流、資訊流的可信度與安全信，讓三大平台的協同場景更加縝密","（一）前言：
參賽團隊透過華苓設定的品牌行銷應用情境，梳理情境應用，並用華苓系統做出對應範本，對外網頁/對內電子簽核進行實作。

（二）目標：

1.  設定企業行銷活動規劃主題。

2. 運用華苓AWARE方法論，讓參與的同學梳理模擬的企業在行銷時對外操作及內部溝通運作流程。

3. 系統化運作：
(1)對外實際用華苓Lale產品(名帖)製作行銷網頁。
(2)內部溝通用Agentflow智雲版(萬用表單)設計電子簽核流程 AI應用：思考在行銷/內部管理，如何融入AI。

4. AI應用：思考在行銷/內部管理，如何融入AI。

5. 決賽發表時，參賽團隊需簡報並演繹系統實作、進行情境說明。",https://wordpress.com/page/sustainabilityhackathon-tw.org/7106
注入永續發展DNA，鋼鐵『鋅』循環,金正豐企業有限公司,https://www.kcf-sf.com/zh/company.html,,金正豐企業，設立於1971年，主要營業項目為：鋼鐵熱浸鍍鋅防蝕處理，子公司守祥企業、金永興企業跨足鍍鋅格柵板製作、電信工程材料販售。我們以交貨迅速、品質優良、價格公道深獲各工程業界好評，為國內最大熱浸鍍鋅格柵板、水溝蓋生產基地。至今，我們的產品已涵蓋政府公共工程、能源材料、鋼構廠房、橋樑結構、養殖農畜等領域，雖然熱浸鍍鋅只是一道加工程序，但卻成為建築屹立不搖的重要關鍵。 深耕台灣五十餘年的金正豐，全方位地支援環境工程產業永續發展，致力做出高規格的產品，充分展現企業精神：「我用鋅，你放心」。,"命題說明：

（一）前言：台灣四面環海，地處高溫高濕亞熱帶，海洋島嶼型氣候受到暖濕氣流和洋流影響，鏽蝕問題較其他國家更為嚴重。熱浸鍍鋅（Hot Dip Galvanizing）是一項符合循環經濟精神的工序，這項製程將鋼鐵浸入熔融的鋅液中，鐵和鋅產生冶金反應，形成一層層的鋅鐵合金層，保護鋼鐵防鏽蝕，其耐用年限長、經濟效益高、週期成本低及環境衝擊少等特點，可延長鋼鐵製品使用年限超過半個世紀。

（二）期望：幫助金正豐企業建立永續綠色品牌形象，推動企業在環保方面的積極貢獻和可持續發展的企業形象。1. 參賽團隊為金正豐結合永續理念設計出網站，並包含：品牌識別、標誌、視覺形象、創新商業模式、精神標語及線上的推廣策略。2. 以熱浸鍍鋅、鍍鋅格柵板產品結合環境永續題材做企劃。例如：鍍鋅格柵板製作出的棧道比塑膠或其他材質製作出的棧道對環境更友善，也更耐用。 3. 參賽團隊以ESG永續發展為核心，為金正豐建立永續品牌形象的具體規劃。",https://sustainabilityhackathon-tw.org/%e6%b3%a8%e5%85%a5%e6%b0%b8%e7%ba%8c%e7%99%bc%e5%b1%95dna%ef%bc%8c%e9%8b%bc%e9%90%b5%e3%80%8e%e9%8b%85%e3%80%8f%e5%be%aa%e7%92%b0/
正確偏頭痛的就醫與用藥攻略,輝瑞大藥廠股份有限公司,https://www.pfizer.com.tw/,,輝瑞藥廠（Pfizer Inc.）成立於1849年，總部設於美國紐約，產品行銷遍及世界各地，是全球頂尖的創新生物製藥公司。1962年，輝瑞在台灣設立分公司，是國內第一家獲准設立的外商藥廠。「持續創新以改變病患生命」是我們的企業願景，並以「勇氣、卓越、平等與喜悅」四個價值觀勾勒出輝瑞文化，做為公司發展基石。 科技不僅改變我們的生活，也掀起人類保健革命。輝瑞結合促進轉型的技術與尖端科學，成為生物製藥創新的先驅，不僅治療棘手的疾病，更能治癒或預防這類疾病。輝瑞每日努力開發各種改變病患生命的創新發明，開啟醫療可能性的新世界。我們也展現智能與熱情，以確保人人皆可獲得這些創新的治療。輝瑞讓科學與科技發揮更大的力量，同時展現更大的勇氣與進行更深入的探索，讓過去無法想像的事物化為現實。 「持續創新以改變病患生命」是輝瑞的企業願景，致力為病患帶來更多突破性的治療。我們特別重視科學以及其能為病患帶來的價值，不斷透過革命性的技術、劃時代的科學與不屈不撓的精神，率先尋求製藥領域的各種創新，以期治療棘手的疾病，更能治癒並預防這些疾病，為醫療領域開啟新世界。,"命題說明：

（一）前言：很多人都聽過「偏頭痛(Migraine)」，但卻不清楚「偏頭痛」與一般的頭痛(headache)有什麼差別，而從字面上認為偏頭痛只是特別指單側或某特定部位的頭痛症狀。事實上，「偏頭痛」本身即為一種特定疾病，而非只是指頭部的疼痛症狀。一般的頭痛發生原因有很多，諸如溫差過大、感冒、熬夜、宿醉、外傷、或不明原因等都可能引起頭部的疼痛。然而「偏頭痛」是一種疾病，其並沒有特定病因，而症狀表現也較單純的頭痛症狀複雜，嚴重影響患者生活，而單純的止痛藥物可能無法完全有效的緩解，甚至可能因藥物過度使用反而讓狀況加劇，正確認識疾病並尋求醫療支持，才能有效的診治及處理。

（二）病介紹、流行病學與社會負擔：偏頭痛有別於一般頭痛，其病因尚不明確，但據信是因為血管運動而誘發相關神經傳導因子，透過三叉神經節傳遞訊號而引發包括頭痛、噁心、對聲光敏感等一系列不適感。部分患者可能在發作前換感覺到視覺或聽覺異常，稱為先兆性偏頭痛，但也有部分患者無先兆症狀。偏頭痛單次發作從症狀開始到結束時間介於4小時到72小時內，稱為一次的發作。而有部分患者在每個月頭痛天數介於4天至14天，稱為陣發性偏頭痛；另外少數患者可能1個月有15天以上處於發作狀態，則稱為慢性偏頭痛。偏頭痛的症狀相當複雜，不單純只有疼痛感覺，部分患者會有噁心嘔吐、畏光、怕吵、對氣味敏感，而偏頭痛可能是單側也可能雙側發作，部分患者有搏動性疼痛。

根據台灣的研究，偏頭痛盛行率約為全人口的10-12%，換言之，台灣可能有200多萬人罹患偏頭痛，女性與男性患者約為2:1，將近6成患者為45歲以下，同時超過6成的患者為大學以上學歷，並且擁有全職工作。而根據世界衛生組織統計，偏頭痛是全球造成青壯年族群失能的第二大主因。由於患者主要為國家社會的勞動人口，對國家生產力有重大影響，因此偏頭痛雖然非致命疾病，但偏頭痛發作時，連帶造成對工作及家庭的影響，對社會生產力及經濟損失影響甚鉅。對於個人而言，偏頭痛也影響患者正常工作、就學甚至因外界對疾病的誤解，而造成歧視與偏見，甚至造成心理方面的影響。

（三）病患旅程現況及未被滿足的醫療需求：根據市場調查，高達8成的偏頭痛患者自訴，其在被正式診斷前，會先至診所或社區藥局尋求醫療協助，例如由醫師開立止痛藥或自行購買非處方藥品的止痛藥物(如普拿疼、止痛糖漿)。主要原因是大部分民眾並不清楚偏頭痛是一種特定疾病，而僅將其當作頭部的疼痛處理。因此民眾對偏頭痛的疾病知識及認知建立是幫助患者更快正確診斷並治療的第一步。

另外，患者在藥局或診所就醫若無法有效改善，其可能會更換診所或科別或尋求其他非醫療相關的支持，甚至是偏方。根據市場調查，患者平均花費3.3年才能被正確診斷偏頭痛，其主要原因是偏頭痛專科醫師主要是神經內科醫師，然而患者並不清楚，可能會先前往家醫科、一般內科、耳鼻喉科、身心科等科別診治，若非受過偏頭痛專科訓練的醫師也不一定有辦法正確診斷，進而開立適合的藥物，止痛藥仍為普遍的第一線治療。因為偏頭痛並非只有疼痛症狀，有些患者並無法單靠止痛藥得到緩解，而需要治療偏頭痛的專屬藥物，在單次發作的急性症狀緩解以及減少發作頻率的預防性治療，目前均有多種除止痛藥以外的藥物選擇，並且病人若符合給付條件，則可獲得健保給付。非偏頭痛專科醫師並不清楚而造成患者治療效果不彰。此外，若患者持續使用止痛藥，會造成藥物效果耐受，而必須增加劑量，但止痛藥物使用過多反而可能會誘發更多的偏頭痛，稱為medication overuse headache。神經科醫師除了部分專科診所外，多數在各級醫院執業，因此影響了患者的可近性。畢竟多數患者若不嚴重，並不願意為了頭痛至醫院掛號候診，但反而使其一直無法得到正確診治。

（四）期望：請參賽同學根據上述偏頭痛的病患旅程，知識及資訊落差，疾病負擔、及各層面的影響，以及考量偏頭痛相關醫療資源分布不均及可近性有限的問題，發想如何透過科技、或更普及的技術，打造「全方位偏頭痛診治及照護網絡」，幫助偏頭痛患者正確認識疾病，並且尋求正確的醫療管道，讓病患能得到偏頭痛專一治療，進而提升減少偏頭痛的疾病負擔及社會經濟影響，也改善患者的生活品質。

（五）參考說明：目前偏頭痛已有針對其神經傳導路徑設計的新一代藥物，包括減少偏頭痛發作頻率的注射型的CGRP受體單株抗體、以及能緩解偏頭痛症狀或預防偏頭痛發作的口服CGRP受體拮抗劑，這些新一代藥物有別於傳統藥物，是直接針對偏頭痛病理機轉設計，而舊有之傳統藥物，亦有多種選項可進行分層分階治療，患者可與醫師討論根據疾病狀況及需求，處方適當藥物。",https://sustainabilityhackathon-tw.org/%e6%ad%a3%e7%a2%ba%e5%81%8f%e9%a0%ad%e7%97%9b%e7%9a%84%e5%b0%b1%e9%86%ab%e8%88%87%e7%94%a8%e8%97%a5%e6%94%bb%e7%95%a5/
電動轉型：創新行銷與ESG整合,裕隆日產汽車股份有限公司,,,,,https://wordpress.com/page/sustainabilityhackathon-tw.org/7032
高齡長照服務方案永續創新商業模式,埔里基督教醫院,https://www.pch.org.tw/index.php,,埔里基督教醫院（以下簡稱埔基）成立超過六十年，在台灣偏遠地區醫療宣教扮演重要角色。埔基從基督教山地中心診所時期（1956-1957）開始，經歷埔里基督教山地醫院時期（1958-1983），到財團法人埔里基督教醫院時期（1984-1999）。經過1999年九二一地震的洗禮，浴火重生為現今的埔里基督教醫院（1999-至今）。埔基雖然是小規模的區域醫院，卻是神照顧弱勢偏遠地區民眾身心靈健康的重要產業。埔基以謙卑、敬畏上帝的心，見證上帝是埔基歷史的主宰。,"命題說明：

人口老化是全球性議題，台灣自不例外。隨著國內少子化與都市化的快速發展，加上家庭結構劇烈轉變，使得部分家庭照護高齡長輩變得愈來愈困難。

1. 高齡長者的生活面臨許多的挑戰，例如體能限制、交通接送、陪伴就醫、外出購物，及有關權益的資訊蒐集等問題，讓居家照顧高齡者的家庭生活漸感不便，甚至對照顧者的身心健康帶來困擾。政府雖然有長照政策提供高齡長者的照護服務，但是資源相對有限；高齡者照護常帶來家庭沈重負擔。 2. 如果設計一個網路平台，在上面登記社區家庭高齡長照服務的需求，以及社區鄰居願意提供長照服務供給，透過網路第三方的監管平台，加入人力資源審查、服務費用計算與金流管理等保障雙方的必要機制，就可以進行有效率而可信賴的高齡照護供給需求媒合機制。這種機制是在現代生活環境發揮鄰里守望相助的傳統美德，不僅可以及時解決高齡長者照護家庭的困擾，更可促進社區長照產業經濟的發展。",https://sustainabilityhackathon-tw.org/%e7%95%b6%e9%ab%98%e9%bd%a1%e9%99%aa%e4%bc%b4%e8%88%87%e5%85%b1%e4%ba%ab%e7%b6%93%e6%bf%9f%e7%b5%90%e5%90%88-%e9%ab%98%e9%bd%a1%e9%95%b7%e7%85%a7%e6%9c%8d%e5%8b%99%e6%96%b9%e6%a1%88%e6%b0%b8%e7%ba%8c/
服務方案之永續創新商業模式,智齡科技股份有限公司,https://jubo-health.com/,https://www.facebook.com/Jubo.health,"智齡科技是一群優秀又熱血的年輕夥伴，希望用當前的軟體平台、資料科學與人工智慧技術，推動高齡照護數位轉型，發展了長照、日照及居家照護的數位轉型工具。在台大康仕仲教授的十年推動之下，智齡於2018年自台灣大學衍伸成新創公司，獲得達盈管顧、嘉新水泥、緯創、聯合報、彰能管理等企業的資金挹注，客戶數已超過 1,000 間長照、日照機構及居家服務單位，服務130,000 名高齡住客、47,000 位照護專業人士，處理十億等級的照護資料。智齡為一國際公司，產品已進入加拿大、美國、日本等市場。以台灣經驗，翻轉國際高齡照護。","命題說明：

1. 透過網路可以訂餐且有人提供到指定地點的服務，對2024年現在的生活，許多人應該不陌生。那如果有一個像美食外送平台一樣的共享經濟平台，能夠媒合專業人員提供服務。2. 如何設計一個有效且可持續的收費機制，讓這樣的平台得以長期運作？而平台上的專業人員也獲得彈性的工作時間以及尊重專業的薪酬。3. 打造幫助家庭、增加就業、平台獲利的三贏方案。4. 命題參考影片 https://youtu.be/8mcasJWR23A?si=ZvpQcCQ8lt_k3OrD",https://sustainabilityhackathon-tw.org/%e7%95%b6%e7%85%a7%e8%ad%b7%e8%88%87%e5%85%b1%e4%ba%ab%e7%b6%93%e6%bf%9f%e7%b5%90%e5%90%88-%e6%9c%8d%e5%8b%99%e6%96%b9%e6%a1%88%e4%b9%8b%e6%b0%b8%e7%ba%8c%e5%89%b5%e6%96%b0%e5%95%86%e6%a5%ad%e6%a8%a1/
